Place,CountryState,Popularity,Latitude,Longitude
Howrah Bridge,West Bengal(India),Priority,22.58507854,88.34685953
Eden Gardens,West Bengal(India),Tier II,22.56459108,88.34311028
Victoria Memorial,West Bengal(India),Tier I,22.54469465,88.34248182
James Prinsep Monument,West Bengal(India),Tier II,22.55528871,88.3311393
Acharya Jagadish Chandra Bose Indian Botanic Garden,West Bengal(India),Tier III,22.55862762,88.29112214
Hazarduari Palace & Museum,West Bengal(India),Tier III,24.18623876,88.26875874
"Peace Pagoda, Darjeeling",West Bengal(India),Tier IV,27.02759408,88.25901114
Padmaja Naidu Himalayan Zoological Park,West Bengal(India),Tier V,27.05593857,88.25619867
Sky Walk Pelling Sikkim,Sikkim(India),Tier IV,27.29693069,88.2195171
Kangchenjunga,West Bengal(India),Tier V,27.70092669,88.14764865
"The Singalila National Park - West Bengal, India",Sikkim(India),Tier V,27.03965081,88.07498222
Mandarmani Beach,West Bengal(India),Tier V,21.64907084,87.6447566
Massanjore Dam,Jharkhand(India),Tier V,24.10627547,87.30769888
Bhitarkanika National Park,Odisha(India),Tier IV,20.72126455,86.86747239
Bhitarkanika Wildlife Sanctuary,Odisha(India),Tier IV,20.72126455,86.86747239
Munger Fort,Bihar(India),Tier V,25.37886256,86.4699475
"Khandoli Park, Giridih",Jharkhand(India),Tier V,24.23409802,86.34193538
Similipal National Park,Odisha(India),Tier IV,21.59308566,86.29455376
"Dalma Wildlife Sanctuary",Jharkhand(India),Tier III,22.8965297,86.20611267
Dalma Wildlife Sanctuary,Jharkhand(India),Tier III,22.89662743,86.20599404
Tata Steel Zoological Park,Jharkhand(India),Tier IV,22.81605556,86.19423824
"JRD Tata Sports Complex Football Stadium",Jharkhand(India),Tier IV,22.80610096,86.19306437
Jawaharlal Nehru Biological Park,Jharkhand(India),Tier V,23.68060139,86.15337133
Ajodhya Hill and Forest Reserve Area,West Bengal(India),Tier III,23.20027523,86.12673463
Golden Beach,Odisha(India),Tier IV,19.79845215,85.83754412
Nandankanan Zoological Park,Odisha(India),Tier I,20.39576995,85.82592626
Swargadwar Sea Beach,Odisha(India),Tier V,19.79197653,85.81573082
Odisha State Tribal Museum,Odisha(India),Tier V,20.28300206,85.80684939
Udayagiri and Khandagiri Caves,Odisha(India),Tier II,20.26254315,85.78457103
Hundru Waterfall,Jharkhand(India),Tier IV,23.44967982,85.66677511
Jonha Falls,Jharkhand(India),Tier V,23.3423356,85.61017628
"Dassam Falls",Jharkhand(India),Tier III,23.14623751,85.46720192
Bhagwan Birsa Biological Park,Jharkhand(India),Tier IV,23.46314088,85.45519872
Ruins of Nalanda University,Bihar(India),Tier IV,25.13663581,85.44223485
Bhaktapur Durbar Square,Nepal,Tier III,27.67207109,85.42828554
Shivapuri Nagarjun National Park,Nepal,Tier V,27.81292074,85.38593034
Tagore Hill,Jharkhand(India),Tier III,23.40126455,85.33795366
Garden of Dreams,Nepal,Tier III,27.71426419,85.31447183
Chilika Lake,Odisha(India),Tier IV,19.73969536,85.30520593
Patratu Valley,Jharkhand(India),Tier III,23.57553654,85.27411585
"Kumhrar Park",Bihar(India),Tier III,25.59981897,85.18496065
Gandhi Maidan,Bihar(India),Tier I,25.6175698,85.14513083
Shrikrishna Science Centre,Bihar(India),Tier IV,25.61640918,85.14108666
Golghar,Bihar(India),Tier III,25.62030797,85.13948729
Buddha Smriti Park,Bihar(India),Tier II,25.60665568,85.13610204
Patna Museum,Bihar(India),Tier V,25.61269787,85.13327845
"Sanjay Gandhi Biological Park, Patna",Bihar(India),Tier I,25.6002837,85.09911073
Gopalpur Beach,Odisha(India),Tier V,19.25325186,84.90423217
Tikarpada Wildlife Sanctuary,Odisha(India),Tier V,20.6852177,84.90009767
Chitwan National Park,Nepal,Tier IV,27.51928942,84.31351673
Betla National Park,Jharkhand(India),Tier V,23.88565846,84.19242358
Lodh Waterfalls,Jharkhand(India),Tier V,23.48088884,84.01947703
Sher Shah Suri Tomb - Bharat,Bihar(India),Tier IV,24.94799438,84.00924353
Tutla Bhawani Waterfall,Bihar(India),Tier V,24.79496781,83.99754014
Annapurna Valley,Nepal,Tier V,28.81950768,83.99501111
Phewa Lake,Nepal,Tier V,28.21649174,83.9453429
Valmiki Tiger Reserve,Bihar(India),Tier V,27.42660162,83.90734701
Rushikonda Beach,Andhra Pradesh(India),Tier II,17.782647,83.38511615
VMRDA INS Kursura Submarine Museum,Andhra Pradesh(India),Tier II,17.71718124,83.3301166
Ramakrishna Beach,Andhra Pradesh(India),Tier III,17.71416644,83.32360683
Borra Caves,Andhra Pradesh(India),Tier II,18.28069287,83.03966273
Lokhaniya Hills & Waterfall,Uttar Pradesh(India),Tier V,24.95861631,83.00899496
Новосибирский зоопарк имени Р.А. Шило,Russia,Tier II,55.05650329,82.88907153
Chunar Fort,Uttar Pradesh(India),Tier IV,25.12331603,82.87571331
Himalayas,Himachal Pradesh(India),Tier III,29.09632573,82.80091483
"Kanan Pendari Zoological Garden, Bilaspur",Chattisgarh(India),Tier IV,22.11725526,82.060165
Tirathgarh Waterfall,Chattisgarh(India),Tier IV,18.91393972,81.86504443
"MM Fun City",Chattisgarh(India),Tier IV,21.23677936,81.8222702
