Name,Category,Popularity,Latitude,Longitude
Chapel Bridge,,Tier II,47.05164902,8.307533126
Chapel Bridge,,Tier II,47.05164996,8.307522381
MGF Metropolitan Mall,,Tier II,28.4809363,77.08027609
Gazprom Arena,,Tier II,59.97271721,30.22136148
Wrigley Field,,Tier II,41.94845433,-87.65530451
SkyJumper Trampoline Park - Chandigarh,,Tier II,30.65082653,76.82224711
Curlies Beach Sack,,Tier II,15.56942378,73.74217839
Snow Kingdom,,Tier II,12.91324598,80.25129245
Snow Kingdom,,Tier II,12.91329816,80.25131311
Taronga Zoo Sydney,,Tier II,-33.84354862,151.2413382
HAL Heritage Centre and Aerospace Museum,,Tier II,12.95464385,77.68090658
Griffin Museum of Science and Industry,,Tier II,41.78769853,-87.58375374
Sahara Mall,,Tier II,28.47937337,77.08622941
Kyiv-Pechersk Lavra,,Tier II,50.43495211,30.55727578
Kyiv-Pechersk Lavra,,Tier II,50.43496583,30.55733498
Itsukushima Jinja,,Tier II,34.29598596,132.3198217
Itsukushima Jinja,,Tier II,34.29599157,132.3198323
Walls of Cartagena,,Tier II,10.42959061,-75.54492682
Welcome to Fabulous Las Vegas Sign,,Tier II,36.08207376,-115.172782
Albertina,,Tier II,48.20469586,16.36818357
Buddha Smriti Park,,Tier II,25.60665568,85.13610204
Assam State Zoo cum Botanical Garden,,Tier II,26.16360689,91.78137132
Stirling Castle,,Tier II,56.12291881,-3.945588304
Borra Caves,,Tier II,18.28069287,83.03966273
"Crown Interiorz Mall
",,Tier II,28.46958248,77.30685485
Atomic Bomb Dome,,Tier II,34.39546128,132.4535417
Kunsthistorisches Museum Wien,,Tier II,48.20380155,16.36178451
Jatayu Earth's Center,,Tier II,8.860833736,76.8664667
Jantar Mantar,Visited,Tier II,28.6270829,77.21659451
ISKCON Temple - Glory of India,,Tier II,28.556294,77.25390038
Damnoen Saduak Floating Market,,Tier II,13.5200403,99.95886117
Natural History Museum,,Tier II,51.49673375,-0.176369034
Buddha Eden,,Tier II,39.27555451,-9.138489231
Baitul Mukarram National Mosque,,Tier II,23.72941287,90.41275397
Baitul Mukarram National Mosque,,Tier II,23.7294348,90.41273353
Place du Capitole,,Tier II,43.60442776,1.443346263
Mirabell Palace,,Tier II,47.80543869,13.0416923
Kingdom of Dreams,Permanently Closed,Tier II,28.46790408,77.06884369
Kingdom of Dreams,,Tier II,28.46786635,77.06890688
Kingdom of Dreams,Permanently Closed,Tier II,28.46786635,77.06892952
Purana Qila,Closes at 5 pm,Tier II,28.60960108,77.2437273
Bangladesh National Zoo,,Tier II,23.81224864,90.34692636
Gamcheon Culture Village,,Tier II,35.09739273,129.0105928
Lalbagh Fort,,Tier II,23.71883094,90.38814223
Warner Bros. Movie World,,Tier II,-27.90693798,153.3130805
Jumeirah Burj Al Arab,,Tier II,25.1411712,55.18524115
Batalha Monastery,,Tier II,39.65917499,-8.825566696
Dongdaemun Design Plaza (DDP),,Tier II,37.56653751,127.0092431
Jim Corbett National Park,,Tier II,29.55212678,78.88318205
Kensington Palace,,Tier II,51.50498887,-0.187683561
Madame Tussauds Amsterdam,,Tier II,52.37259371,4.892574569
Santa Claus Village,,Tier II,66.54413901,25.84749271
Sri Dalada Maligawa,,Tier II,7.293606667,80.64132331
